字段,含义
date,日期
item_id,商品ID
cate_id,叶子类目ID
cate_level_id,大类目ID
brand_id,品牌ID
supplier_id,供应商ID
pv_ipv,浏览次数
pv_uv,流量UV
cart_ipv,被加购次数
cart_uv,加购人次
collect_uv,收藏夹人次
num_gmv,拍下笔数
amt_gmv,拍下金额
qty_gmv,拍下件数
unum_gmv,拍下UV
amt_alipay,成交金额
num_alipay,成交笔数
qty_alipay,成交件数
unum_alipay,成交人次
ztc_pv_ipv,直通车引导浏览次数
tbk_pv_ipv,淘宝客引导浏览次数
ss_pv_ipv,搜索引导浏览次数
jhs_pv_ipv,聚划算引导浏览次数
ztc_pv_uv,直通车引导浏览人次
tbk_pv_uv,淘宝客引导浏览人次
ss_pv_uv,搜索引导浏览人次
jhs_pv_uv,聚划算引导浏览人次
num_alipay_njhs,非聚划算支付笔数
amt_alipay_njhs,非聚划算支付金额
qty_alipay_njhs,非聚划算支付件数
unum_alipay_njhs,非聚划算支付人次
